label,metric,A1,A2,C3,C4,Cz,F3,F4,F7,F8,Fp1,Fp2,Fpz,Fz,O1,O2,P3,P4,Pz,Status,T3,T4,T5,T6,duration_sec,event,file_path,n_channels,patient_id,sfreq
control,count,8.0,10.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,32.0,33.0,1.0,33.0,32.0,32.0,33.0,33.0,33.0,29.0,33.0,33.0,32.0,32.0,33.0,1.0,33.0,33.0,33.0,33.0
ОКР,count,0.0,0.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,0.0,39.0,39.0,39.0,39.0,39.0,39.0,25.0,39.0,39.0,39.0,39.0,39.0,2.0,39.0,39.0,39.0,39.0
ПРЛ,count,0.0,0.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,0.0,32.0,32.0,32.0,32.0,32.0,32.0,31.0,32.0,32.0,32.0,32.0,32.0,31.0,32.0,32.0,32.0,32.0
ПТСР,count,0.0,0.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,0.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
тревожно-фобические,count,1.0,0.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,0.0,31.0,31.0,31.0,31.0,31.0,31.0,30.0,31.0,31.0,31.0,31.0,31.0,27.0,31.0,31.0,31.0,31.0
control,percentage,24.242424242424242,30.303030303030305,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.96969696969697,100.0,3.0303030303030303,100.0,96.96969696969697,96.96969696969697,100.0,100.0,100.0,87.87878787878788,100.0,100.0,96.96969696969697,96.96969696969697,100.0,3.0303030303030303,100.0,100.0,100.0,100.0
ОКР,percentage,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,64.1025641025641,100.0,100.0,100.0,100.0,100.0,5.128205128205128,100.0,100.0,100.0,100.0
ПРЛ,percentage,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,96.875,100.0,100.0,100.0,100.0,100.0,96.875,100.0,100.0,100.0,100.0
ПТСР,percentage,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
тревожно-фобические,percentage,3.225806451612903,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,96.7741935483871,100.0,100.0,100.0,100.0,100.0,87.09677419354838,100.0,100.0,100.0,100.0
